Baccalaureate Institution,Enrollment,Endowment,EndowmentPerStudent
Abilene Christian University,4558,614700000,134861.7815
Adams State University,3701,,0
Agnes Scott College,1005,204800000,203781.0945
Alabama A&M University,5273,50000000,9482.268159
Alfred University,1600,136800000,85500
American University,14318,720400000,50314.28971
Amherst College,1792,2473000000,1380022.321
Appalachian State University,18295,122400000,6690.352555
Aquinas College,2001,42000000,20989.50525
Arcadia University,2149,69500000,32340.62355
Arizona State University,74878,922000000,12313.36307
Auburn University,27287,780900000,28618.02323
Augsburg University,2512,54100000,21536.6242
Austin College,1353,155400000,114855.8758
Austin Peay State University,10344,22000000,2126.836814
Barnard College,2573,240000000,93276.33113
Barry University,8905,45900000,5154.407636
Baylor University,16787,1400000000,83397.8674
Binghamton University,16896,117800000,6972.064394
"University of Nevada,ÊReno",20194,230000000,11389.52164
Boise State University,22113,113900000,5150.816262
Boston College,14125,2580000000,182654.8673
Boston University,32551,2430000000,74652.08442
Bowdoin College,1806,1800000000,996677.7409
Brandeis University,5945,1074000000,180656.0135
Brigham Young University,33517,1970000000,58776.14345
Brown University,8848,4700000000,531193.4901
Bryn Mawr College,1640,887800000,541341.4634
Bucknell University,3624,867000000,239238.4106
California College of the Arts,1950,36000000,18461.53846
California Institute of Technology,2238,2840000000,1268990.17
California Polytechnic State University,20944,227700000,10871.84874
California State L A University Auxiliary Services Inc.,,,#DIV/0!
California State Polytechnic University-Pomona,25894,105400000,4070.441029
California State University- San Bernardino,20767,44900000,2162.084076
California State University-Bakersfield,10545,26900000,2550.972025
California State University-Dominguez Hills Foundation,17763,13100000,737.4880369
California State University-Fullerton,41408,81700000,1973.048686
California State University-Long Beach,39359,85600000,2174.852003
California State University-Fresno,25341,170800000,6740.065506
California State University-Northridge,38815,129800000,3344.068015
California State University- San Marcos,14643,27900000,1905.347265
Calvin College,3307,160800000,48624.13063
Carleton College,2105,868900000,412779.0974
Carnegie-Mellon University,14799,2670000000,180417.5958
Carthage College,2800,111500000,39821.42857
Case Western Reserve University,11824,1850000000,156461.4344
Cazenovia College,915,32200000,35191.25683
Central Michigan University,21705,187800000,8652.384243
Central Washington University,12342,18100000,1466.537028
Centre College of Kentucky,1430,329300000,230279.7203
Chapman University,8542,416600000,48770.77968
Christopher Newport University,4957,28600000,5769.618721
Claremont McKenna College,1349,855500000,634173.4618
Clarkson University,4300,197500000,45930.23256
Clemson University,25822,770900000,29854.38773
Coe College,1400,77900000,55642.85714
Colby College,1917,878000000,458007.3031
Colgate University,2969,1080000000,363758.8414
College of Charleston,11942,102800000,8608.273321
College of Saint Benedict,3640,86700000,23818.68132
College of William and Mary,8817,967700000,109753.8845
College of Wooster,2000,331100000,165550
Colorado College,2012,768800000,382107.3559
Colorado School of Mines,6607,285600000,43226.88058
Colorado State University,34166,393100000,11505.59035
Columbia University,33413,11260000000,336994.5829
Cornell College,1033,81100000,78509.19652
Cornell University,24027,7220000000,300495.2761
Creighton University,8821,566000000,64165.06065
CUNY City College,16161,264610000,16373.36798
CUNY Hunter College,22918,135800000,5925.473427
CUNY John Jay College of Criminal Justice,15045,"7,294,831",484.8674643
CUNY Lehman College,14787,7700000,520.7276662
CUNY Medgar Evers College,7156,469000,65.53940749
CUNY Queens College,18494,"85,000,000",4596.085217
Dartmouth College,6608,6000000000,907990.3148
David Lipscomb University,4595,81000000,17627.85637
Davidson College,1843,905900000,491535.5399
DePauw University,2315,692900000,299308.8553
Drexel University,24205,798300000,32980.78909
Duke University,15634,8470000000,541767.9417
Duquesne University,9344,472100000,50524.40068
East Carolina University,29131,212000000,7277.470736
Eastern Washington University,12350,25300000,2048.582996
Eckerd College,1800,58300000,32388.88889
Elizabethtown College,1735,81600000,47031.70029
Embry Riddle Aeronautical University,33678,172400000,5119.068828
Emmanuel College,2500,159100000,63640
Emory and Henry College,1246,91300000,73274.47833
Emory University,15398,7940000000,515651.3833
Escuela Colombiana de Ingeniería Julio Garavito (Joint Program),5600,,0
Fairfield University,5192,350800000,67565.48536
Fairmont State University,3800,20000000,5263.157895
Florida Agricultural and Mechanical University,10031,95600000,9530.455588
Florida Atlantic University,30808,240700000,7812.905739
Florida Gulf Coast University,15373,84600000,5503.154882
Florida International University,58787,218700000,3720.210251
Florida Southern College,3074,79100000,25731.94535
Florida State University,41551,699900000,16844.35994
Fordham University,16364,712800000,43559.03202
Franklin and Marshall College,2426,350400000,144435.2844
Franklin W. Olin College of Engineering,390,369700000,947948.7179
George Fox University,3782,16100000,4257.006875
George Mason University,38255,154200000,4030.845641
George Washington University,27159,1800000000,66276.37247
Georgetown University,19005,1860000000,97868.98185
Georgia College,6915,40100000,5798.987708
Georgia Institute of Technology,36489,2170000000,59469.97725
Georgia Southern University,26054,"67,100,000",2575.420281
Georgia State University,52814,"170,800,000",3233.990987
Gettysburg College,2451,"320,000,000",130558.9555
Gonzaga University,7501,"308,200,000",41087.85495
Grand Valley State University,24033,"132,100,000",5496.60883
Grinnell College,1733,"2,090,000,000",1206001.154
Gustavus Adolphus College,2450,"205,400,000",83836.73469
Hamilton College,1850,"1,200,000,000",648648.6486
Hampton University,4646,"280,600,000",60396.0396
Harding University,4879,"164,600,000",33736.4214
Harvard University,20970,"41,900,000,000",1998092.513
Harvey Mudd College,895,"87,000,000",97206.70391
Haskell Indian Nations University,1000,"100,000",100
Haverford College,1353,"510,700,000",377457.5018
Hawaii Pacific University,4998,"44,400,000",8883.553421
Henderson State University,3961,"12,200,000",3080.030295
Hendrix College,1348,"200,700,000",148887.2404
Hope College,3149,"229,200,000",72785.01111
Howard University,9399,"712,400,000",75795.29737
Humboldt State University Foundation,6431,"32,100,000",4991.447675
Idaho State University,12425,"53,000,000",4265.593561
Indiana University,110436,"2,430,000,000",22003.69445
Indiana University of Pennsylvania,10067,"60,600,000",6019.668223
Indiana University South Bend,5091,"25,600,000",5028.481634
Indiana University-Purdue University Indianapolis,29390,"852,000,000",28989.45219
Indraprastha Institute of Information Technology - Delhi,1537,,0
Instituto Tecnológico Autónomo de México (ITAM),5000,,0
Inter American University of Puerto Rico Bayamon Campus,4396,"2,000,000",454.9590537
Iowa State University,33391,"1,100,000,000",32943.0086
Ithaca College,6266,"337,200,000",53814.23556
James Madison University,22667,"116,700,000",5148.453699
Johns Hopkins University,26402,"6,750,000,000",255662.4498
